place_number;booking_weezpay_account;stall_name;drink_categories;food_types
726.07;2539-002;Le valais chez vous;bi?res, cocktails;Raclette;6.930994735366705, 46.99073486775891
045.06;2547-002;Mariana Cr?pes et Titi Raclette;min?rales, vins, bi?res;Churros, Cr?pes, Raclette;6.929913870370558, 46.990891780300075
045.14;2275-002;poulet secret;;Burgers, Sp?cialit?s Am?rique latine, poulet frite;6.930065590808826, 46.99067889112161
744.28;2468-002;Stand Bifadoro;;Sp?cialit?s Portugaises;6.928988659170349, 46.991506088079056
657.26;2158-002;Stand de Lopes Carlos;min?rales, vins, bi?res, liquoreux, cocktails;Churros, Sp?cialit?s Portugaises;6.9290012638169545, 46.98980920387776
732.16;2540-002;BELLA PALOMO - Chilean Food & Point 0;min?rales,  toutes les boissons sans alcools (mocktails, bi?res, vins, mousseux..),  bar ? jus de fruits;Sandwich, Sp?cialit?s Am?rique latine, Hot-dog et frites;6.930269286551546, 46.99073196128756
537.29;2461-002;HC Neuch?tel Young Sprinters;min?rales, vins, bi?res, liquoreux, cocktails;Raclette, Sandwich;6.930996949585051, 46.990102711415275
648.06;2413-003;Stand de Tamara;min?rales, liquoreux;Churros, Cr?pes;6.932078294380051, 46.99117061232314
744.20;2413-004;Stand de Tamara;min?rales, liquoreux;;6.92911156405011, 46.99112807159942
537.08;2517-002;Stand de regaltandoori;min?rales, vins, bi?res;Cuisine Indien;6.931480685413463, 46.9906989174671
627.06;2217-002;Stand de Jonathan Perret;min?rales, vins, bi?res, liquoreux;;6.9326002191754705, 46.99067248935637
537.26;2076-003;Stand Vekteur;min?rales, vins, bi?res, liquoreux, cocktails;;6.931040334680996, 46.990435681345055
537.27;2541-002;Stand Partenaires FDV;min?rales, vins, bi?res, liquoreux, cocktails;Buffet froid compos? de diverses p?tisseries italiennes;6.931153118051861, 46.9902052570211
198.13;2322-002;Stand de eric beguelin;vins, bi?res;Hot fondue;6.930791409682256, 46.99145769840181
198.15;2531-002;YAKIMI;;Sp?cialit?s Asiatiques;6.930807340905117, 46.99141520214591
384.12;2551-002;La Terra del Sud di Salento;min?rales, vins, bi?res;;6.929937795857503, 46.99185257923201
384.15;2528-002;Cow on the Road;;Burgers, Sandwich, Tartares;6.928987264848862, 46.99175938577436
